HSA-MIR-518E;MELANOMA
HSA-LET-7I;CARCINOMA, RENAL CELL
HSA-MIR-147A;PARKINSON DISEASE
HSA-MIR-223;UVEAL MELANOMA
HSA-MIR-181B;HEPATITIS B VIRUS INFECTION
HSA-MIR-183;BREAST NEOPLASMS
HSA-MIR-451A;BREAST NEOPLASMS
HSA-MIR-378;CARCINOMA, RENAL CELL
HSA-MIR-4448;GLAUCOMA
HSA-MIR-143;PANCREATIC ADENOCARCINOMA
HSA-MIR-30;CHRONIC HEPATITIS C
HSA-MIR-21;CENTRAL NERVOUS SYSTEM EMBRYONAL TUMOR
HSA-MIR-21;AUTOIMMUNE HEPATITIS
HSA-MIR-34B;LEUKEMIA
HSA-MIR-101;GLIOMA
HSA-MIR-30A;NEOPLASMS
HSA-MIR-1207;GLOMERULONEPHRITIS
HSA-MIR-204;PROSTATE NEOPLASMS
HSA-MIR-125A;OVARIAN NEOPLASMS
HSA-MIR-206;CARCINOMA, BREAST, TRIPLE NEGATIVE
HSA-MIR-15A;CARCINOMA, NASOPHARYNGEAL
HSA-MIR-122;BLADDER NEOPLASMS
HSA-MIR-18A;MEDULLOBLASTOMA
HSA-MIR-145;GLIOMA
HSA-MIR-200B;PROSTATE NEOPLASMS
HSA-MIR-18;FEINGOLD SYNDROME
HSA-MIR-204;PULMONARY HYPERTENSION
HSA-MIR-589;CHONDROSARCOMA
HSA-MIR-21;CERVICITIS
HSA-MIR-127;GLIOMA
HSA-MIR-196A;CARCINOMA, PANCREATIC
HSA-LET-7A;MELANOMA
HSA-MIR-149;LEUKEMIA, LYMPHOBLASTIC, ACUTE
HSA-MIR-34A;LEUKEMIA, LYMPHOBLASTIC, ACUTE
HSA-MIR-155;ASTHMA
HSA-MIR-17;CARCINOMA, PANCREATIC
HSA-MIR-212;AUTISM SPECTRUM DISORDER
HSA-MIR-105;AMYOTROPHIC LATERAL SCLEROSIS
HSA-MIR-381;LUNG NEOPLASMS
HSA-MIR-133A;ISCHEMIA-REPERFUSION INJURY
HSA-MIR-143;ADENOCARCINOMA, PANCREATIC DUCTAL
HSA-MIR-125A;CORONARY ATHEROSCLEROSIS
HSA-MIR-135A;ADENOCARCINOMA, PANCREATIC DUCTAL
HSA-MIR-506;CARCINOMA, HEPATOCELLULAR
HSA-MIR-372;GLIOMA
HSA-MIR-645;ADENOCARCINOMA, GASTRIC-ESOPHAGEAL JUNCTION
HSA-MIR-506;CARCINOMA, NASOPHARYNGEAL
HSA-MIR-26B;PROSTATE NEOPLASMS
HSA-MIR-141;CARCINOMA, BREAST
HSA-MIR-132;ANGIOMYOLIPOMA
HSA-MIR-3160;PROSTATE NEOPLASMS
HSA-MIR-18A;OSTEOSARCOMA
HSA-MIR-1265;OVARIAN NEOPLASMS
HSA-MIR-128;DIABETES MELLITUS, TYPE 2
HSA-MIR-320;ISCHEMIC HEART DISEASE
HSA-MIR-155;LEUKEMIA, MYELOID, ACUTE, PEDIATRIC
HSA-MIR-663;PANCREATIC NEOPLASMS
HSA-MIR-26A;LEUKEMIA, LYMPHOBLASTIC, ACUTE, B-CELL
HSA-MIR-122;ASTHMA
HSA-MIR-1;INTRAHEPATIC CHOLANGIOCARCINOMA
HSA-MIR-765;CARCINOMA, HEPATOCELLULAR
HSA-MIR-224;ALLERGIC RHINITIS,PERENNIAL
HSA-MIR-2116;CARCINOMA, HEPATOCELLULAR
HSA-MIR-106A;AUTISTIC DISORDER
HSA-MIR-181;DIABETES MELLITUS, TYPE 2
HSA-MIR-96;HEPATOBLASTOMA
HSA-MIR-183;CARCINOMA, THYROID, FOLLICULAR
HSA-MIR-522;RECURRENT SPONTANEOUS ABORTION
HSA-MIR-125A;POST-TRAUMATIC STRESS DISORDER
HSA-MIR-19A;CARCINOMA, PROSTATE
HSA-LET-7C;MITRAL VALVE DISEASE
HSA-MIR-3651;CARCINOMA, HEPATOCELLULAR
HSA-MIR-148A;MUSCULAR DYSTROPHY
HSA-MIR-885;PLEURAL MESOTHELIOMA
HSA-MIR-24;GLIOMA
HSA-MIR-10B;CARCINOMA, BREAST, TRIPLE NEGATIVE
HSA-MIR-196B;CARCINOMA, NON-SMALL-CELL LUNG
HSA-MIR-370;CARCINOMA, SQUAMOUS CELL
HSA-MIR-92A;NEUROBLASTOMA
HSA-MIR-125B;SYSTEMIC LUPUS ERYTHEMATOSUS
HSA-LET-7C;CARCINOMA, NON-SMALL-CELL LUNG
HSA-MIR-4775;COLORECTAL NEOPLASMS
HSA-MIR-6089;ARTHRITIS, RHEUMATOID
HSA-MIR-18A;CARCINOMA, NON-SMALL-CELL LUNG
HSA-MIR-29B;ADENOCARCINOMA, PANCREATIC DUCTAL
HSA-LET-7B;LUNG NEOPLASMS
HSA-MIR-24;HEART FAILURE
HSA-MIR-339;OVARIAN NEOPLASMS
HSA-MIR-23A;CARDIOVASCULAR DISEASES
HSA-MIR-21;CORONARY ARTERY DISEASE
HSA-MIR-342;MELANOMA
HSA-LET-7I;MYELODYSPLASTIC SYNDROMES
HSA-MIR-592;CARCINOMA, COLON
HSA-MIR-124A;MELANOMA
HSA-MIR-212;CARCINOMA, BREAST
HSA-MIR-208;HEART DISEASES
HSA-MIR-302B;BREAST NEOPLASMS
HSA-MIR-302B;MELANOMA
HSA-MIR-383;OVARIAN NEOPLASMS
HSA-MIR-130A;STROKE, ISCHEMIC
HSA-MIR-200B;STROKE, ISCHEMIC
HSA-MIR-17;MACULAR DEGENERATION
HSA-MIR-139;CARCINOMA, CERVICAL
HSA-MIR-214;NEOPLASMS
HSA-MIR-151A;GLIOBLASTOMA
HSA-MIR-196B;LEUKEMIA, LYMPHOCYTIC, CHRONIC, B-CELL
HSA-MIR-155;ATHEROSCLEROSIS
HSA-MIR-133A;ARTERIOSCLEROSIS OBLITERANS
HSA-MIR-155;MYELODYSPLASTIC SYNDROMES
HSA-MIR-4758;GASTRIC NEOPLASMS
HSA-MIR-451A;MELANOMA
HSA-MIR-193A;LUNG NEOPLASMS
HSA-MIR-22;LIVER NEOPLASMS
HSA-LET-7B;NEUROBLASTOMA
HSA-MIR-375;HYPOGONADISM
HSA-MIR-135A;PAIN
HSA-MIR-21;AUTISM SPECTRUM DISORDER
HSA-MIR-601;CARCINOMA, PANCREATIC
HSA-MIR-181A;MACHADO-JOSEPH DISEASE
HSA-MIR-1224;LEUKEMIA
HSA-MIR-340;MULTIPLE SCLEROSIS
HSA-MIR-182;SENSORINEURAL HEARING LOSS
HSA-MIR-93;ACUTE ISCHEMIC STROKE
HSA-MIR-99B;MELANOMA
HSA-MIR-140;CARCINOMA, CERVICAL
HSA-MIR-135A;INFLAMMATION
HSA-MIR-542;LUNG NEOPLASMS
HSA-MIR-134;HEAD AND NECK NEOPLASMS
HSA-MIR-199;IMMUNE SYSTEM DISEASE
HSA-MIR-490;LUNG NEOPLASMS
HSA-MIR-639;TONGUE NEOPLASMS
HSA-MIR-572;CARCINOMA, OVARIAN
HSA-MIR-1271;OVARIAN NEOPLASMS
HSA-MIR-33A;CARCINOMA, PROSTATE
HSA-MIR-182;LEUKEMIA, PROMYELOCYTIC, ACUTE
HSA-MIR-200A;CARCINOMA, BREAST, TRIPLE NEGATIVE
HSA-MIR-1307;CARCINOMA, BREAST
HSA-MIR-424;GLIOMA
HSA-MIR-126;PLEURAL MESOTHELIOMA
HSA-MIR-520B;HEART FAILURE
HSA-LET-7B;NASOPHARYNGEAL NEOPLASMS
HSA-MIR-10A;MEDULLOBLASTOMA
HSA-MIR-650;CARCINOMA, HEPATOCELLULAR
HSA-MIR-144;AMYOTROPHIC LATERAL SCLEROSIS
HSA-MIR-598;EWING SARCOMA
HSA-MIR-184;LYMPHOMA
HSA-LET-7B;ADENOCARCINOMA, LUNG
HSA-MIR-3613;CARCINOMA, OVARIAN
HSA-MIR-7515;CARCINOMA, OVARIAN
HSA-MIR-26B;ACUTE MYOCARDIAL INFARCTION
HSA-LET-7G;PARKINSON DISEASE
HSA-MIR-155;PORPHYROMONAS GINGIVALIS
HSA-MIR-16;ENDOMETRIAL NEOPLASMS
HSA-MIR-483;PERITONEAL NEOPLASMS
HSA-MIR-133B;TETRALOGY OF FALLOT
HSA-MIR-484;MULTIPLE SCLEROSIS
HSA-MIR-181;INFLAMMATION
HSA-MIR-128;HODGKIN DISEASE
HSA-MIR-125B;HEAD AND NECK NEOPLASMS
HSA-MIR-1;CHRONIC HEART FAILURE
HSA-MIR-760;ARTHRITIS, RHEUMATOID
HSA-MIR-210;CARCINOMA, NON-SMALL-CELL LUNG
HSA-MIR-219;CARCINOMA, SQUAMOUS CELL
HSA-MIR-297;COLORECTAL NEOPLASMS
HSA-MIR-205;GLIOMA
HSA-MIR-34A;PULMONARY HYPERTENSION
HSA-MIR-126;PROSTATE NEOPLASMS
HSA-MIR-21;URINARY BLADDER CANCER
HSA-MIR-29A;TUBERCULOSIS, PULMONARY
HSA-MIR-323;MILD COGNITIVE IMPAIRMENT
HSA-MIR-24;ACUTE CEREBRAL INFARCTION
HSA-MIR-7;GLIOMA
HSA-MIR-548Q;CARCINOMA, NASOPHARYNGEAL
HSA-MIR-30C;CARCINOMA, HEPATOCELLULAR
HSA-MIR-7;CARCINOMA, RENAL CELL
HSA-MIR-29C;CARCINOMA, HEPATOCELLULAR
HSA-MIR-10B;CARCINOMA, PANCREATIC
HSA-MIR-24;DIABETES MELLITUS, TYPE 1
HSA-MIR-192A;GASTRIC NEOPLASMS
HSA-MIR-203;CARCINOMA, RENAL CELL
HSA-MIR-378C;PROSTATE NEOPLASMS
HSA-MIR-23A;SCHIZOPHRENIA
HSA-MIR-451A;HEARING LOSS
HSA-MIR-146B;PROSTATE NEOPLASMS
HSA-MIR-338;OVARIAN NEOPLASMS
HSA-MIR-34C;CARCINOMA, PROSTATE
HSA-MIR-92A;LEUKEMIA, B-CELL
HSA-MIR-125A;JUVENILE RHEUMATOID ARTHRITIS
HSA-MIR-18A;CARCINOMA, GASTRIC
HSA-MIR-200;CARCINOMA, BREAST, TRIPLE NEGATIVE
HSA-MIR-21;WOUNDS AND INJURIES
HSA-MIR-15B;HEREDITARY BREAST CARCINOMA
HSA-MIR-144;CARCINOMA, ESOPHAGEAL
HSA-MIR-146A;TOXOPLASMA GONDII INFECTION
HSA-MIR-199A;KIDNEY NEOPLASMS
HSA-MIR-26A;BREAST NEOPLASMS
HSA-MIR-29;MUSCULAR DYSTROPHY
HSA-MIR-92B;ACUTE CORONARY SYNDROME
HSA-MIR-320B;BREAST NEOPLASMS
HSA-MIR-27A;MALIGNANT NEOPLASMS
HSA-MIR-25;THYROID NEOPLASMS
HSA-MIR-122;SCHIZOPHRENIA
HSA-MIR-7;CARCINOMA, OVARIAN
HSA-MIR-145;MYOCARDIAL INFARCTION
HSA-MIR-135;DIABETES MELLITUS, TYPE 2
HSA-MIR-451;OSTEOARTHRITIS
HSA-MIR-135B;CARCINOMA, RECTAL
HSA-MIR-210;PSORIASIS
HSA-MIR-99A;CARCINOMA, CERVICAL
HSA-MIR-101;CARCINOMA, ENDOMETRIAL
HSA-MIR-211;CARCINOMA, HEPATOCELLULAR
HSA-MIR-489;AORTIC ANEURYSM, ABDOMINAL
HSA-MIR-24;CARCINOMA, BLADDER
HSA-MIR-23B;SEPSIS
HSA-MIR-33A;LARYNGEAL NEOPLASMS
HSA-MIR-23C;CARCINOMA, HEPATOCELLULAR
HSA-MIR-146A;CARCINOMA, RENAL CELL, CLEAR-CELL
HSA-MIR-494;ENTEROVIRUS INFECTION
HSA-MIR-128;ALZHEIMER DISEASE
HSA-MIR-22;CARCINOMA, RENAL CELL
HSA-MIR-132;WOUND HEALING
HSA-MIR-210;IDIOPATHIC PULMONARY FIBROSIS
HSA-MIR-342;HEPATITIS C VIRUS INFECTION
HSA-MIR-203;ADRENAL CORTEX NEOPLASMS
HSA-MIR-200C;LEARNED HELPLESSNESS
HSA-MIR-28;CHRONIC OBSTRUCTIVE PULMONARY DISEASE
HSA-MIR-18;RETINOBLASTOMA
HSA-MIR-130A;AMYOTROPHIC LATERAL SCLEROSIS
HSA-MIR-523;OBESITY
HSA-MIR-451;PTERYGIUM
HSA-MIR-221;HEPATOBLASTOMA
HSA-MIR-155;LUPUS NEPHRITIS
HSA-MIR-182;CARCINOMA, PROSTATE
HSA-MIR-3157;ADENOCARCINOMA, PANCREATIC DUCTAL
HSA-MIR-146B;HEAD AND NECK NEOPLASMS
HSA-MIR-508;MELANOMA
HSA-MIR-518E;CARCINOMA, HEPATOCELLULAR
HSA-MIR-130A;CHRONIC ALCOHOL-INDUCED ALVEOLAR MACROPHAGE DYSFUNCTION
HSA-MIR-326;FATTY LIVER
HSA-MIR-181B;LEUKEMIA, PROMYELOCYTIC, ACUTE
HSA-MIR-135A;LYMPHOMA
HSA-MIR-2110;COLORECTAL NEOPLASMS
HSA-MIR-16;COLORECTAL NEOPLASMS
HSA-MIR-16;LEUKEMIA, B-CELL
HSA-MIR-9;METHYLMALONIC ACIDEMIA
HSA-MIR-196B;COLORECTAL NEOPLASMS
HSA-MIR-133B;COLORECTAL NEOPLASMS
HSA-MIR-1915;BREAST NEOPLASMS
HSA-MIR-192;PROSTATE NEOPLASMS
HSA-MIR-222;ATHEROSCLEROSIS
HSA-MIR-18;LEUKEMIA
HSA-MIR-142;HEART FAILURE
HSA-LET-7B;STROKE, ISCHEMIC
HSA-LET-7F;CARCINOMA, HEPATOCELLULAR
HSA-MIR-484;METABOLIC SYNDROME
HSA-MIR-338;BREAST NEOPLASMS
HSA-MIR-199B;INTRAHEPATIC CHOLANGIOCARCINOMA
HSA-MIR-324;SYSTEMIC LUPUS ERYTHEMATOSUS
HSA-MIR-629;SYSTEMIC LUPUS ERYTHEMATOSUS
HSA-MIR-26A;OSTEOSARCOMA
HSA-MIR-938;HIRSCHSPRUNG DISEASE
HSA-MIR-24;CARCINOMA, PANCREATIC
HSA-MIR-210;DIABETES MELLITUS, TYPE 1
HSA-MIR-29C;DIABETES MELLITUS
HSA-MIR-19A;NEOPLASMS
HSA-MIR-4649;CHRONIC BRUCELLOSIS
HSA-MIR-103A;DIABETES MELLITUS, TYPE 1
HSA-MIR-19A;LEUKEMIA, MYELOID, ACUTE
HSA-LET-7E;BREAST NEOPLASMS
HSA-LET-7B;LIVER NEOPLASMS
HSA-MIR-124;PULMONARY HYPERTENSION
HSA-MIR-200B;CERVICAL NEOPLASMS
HSA-MIR-34B;INTRACRANIAL ANEURYSM
HSA-MIR-214;CARCINOMA, COLON
HSA-MIR-142;LYMPHOMA, LARGE B-CELL, DIFFUSE
HSA-MIR-204;GLIOMA
HSA-MIR-125B;LEUKEMIA, B-CELL
HSA-MIR-150;LEUKEMIA
HSA-MIR-27A;HYPERTENSION
HSA-MIR-7;LIVER NEOPLASMS
HSA-MIR-138;CARCINOMA, GALLBLADDER
HSA-LET-7E;VASCULAR DISEASE
HSA-MIR-221;HYPERGLYCEMIA
HSA-MIR-135B;PANCREATIC NEOPLASMS
HSA-MIR-208B;CARDIOMEGALY
HSA-MIR-155;IMMUNE SYSTEM DISEASE
HSA-MIR-24;HUMAN PAPILLOMA VIRUS INFECTION
HSA-MIR-146B;CARCINOMA, THYROID
HSA-MIR-128;CARCINOMA, HEPATOCELLULAR
HSA-MIR-491;ORAL LEUKOPLAKIA
HSA-MIR-21;LEUKEMIA, MYELOGENOUS, CHRONIC, BCR-ABL POSITIVE
HSA-MIR-150;INFLUENZA
HSA-MIR-18A;NEUROBLASTOMA
HSA-MIR-367;KIDNEY NEOPLASMS
HSA-MIR-193B;PERITONEAL DIALYSIS FAILURE
HSA-MIR-96;KERATITIS
HSA-MIR-124;NEURODEGENERATIVE DISEASES
HSA-MIR-1227;GLIOMA
HSA-MIR-532;LEUKEMIA, LYMPHOCYTIC, CHRONIC, B-CELL
HSA-MIR-98;ATHEROSCLEROSIS
HSA-MIR-200C;CARCINOMA, BREAST, TRIPLE NEGATIVE
HSA-MIR-141;CARCINOMA, ENDOMETRIAL
HSA-MIR-20A;VASCULAR DISEASE
HSA-MIR-24;GASTROINTESTINAL NEOPLASMS
HSA-MIR-494;MULTIPLE SCLEROSIS
HSA-MIR-148B;PANCREATIC NEOPLASMS
HSA-MIR-23B;OVARIAN NEOPLASMS
HSA-MIR-33B;OSTEOSARCOMA
HSA-MIR-483;PROSTATE NEOPLASMS
HSA-MIR-325;CARCINOMA, HEPATOCELLULAR
HSA-MIR-32;NEOPLASMS
HSA-MIR-181C;DIABETES MELLITUS
HSA-MIR-20A;CARCINOMA, BREAST, TRIPLE NEGATIVE
HSA-MIR-1;ASTHMA
HSA-MIR-133A;CAROTID ATHEROSCLEROSIS
HSA-MIR-96;ADENOCARCINOMA, PANCREATIC DUCTAL
HSA-MIR-20A;LEUKEMIA, T-CELL
HSA-MIR-126;URINARY BLADDER CANCER
HSA-MIR-21;AORTIC ANEURYSM, THORACIC
HSA-MIR-27B;LICHEN PLANUS
HSA-MIR-498;ALLERGIC RHINITIS,PERENNIAL
HSA-MIR-193B;ENDOMETRIAL NEOPLASMS
HSA-MIR-433;RETINOBLASTOMA
HSA-MIR-532;AMYOTROPHIC LATERAL SCLEROSIS
HSA-MIR-92A;HEART FAILURE
HSA-MIR-150;EWING SARCOMA
HSA-MIR-549;COLORECTAL ADENOCARCINOMA
HSA-MIR-330;CARCINOMA, UROTHELIAL, UPPER TRACT
HSA-MIR-367;HEART FAILURE
HSA-MIR-143;MEDULLOBLASTOMA
HSA-MIR-17;EPENDYMOMA
HSA-MIR-25;GASTROINTESTINAL NEOPLASMS
HSA-MIR-17;STROKE
HSA-MIR-143;CHRONIC HEPATITIS
HSA-MIR-103;REPRODUCTIVE SYSTEM DISEASE
HSA-MIR-199A;CARDIOMEGALY
